date,steps
2023-11-09,5064
2023-11-10,4948
2023-11-11,117
2023-11-12,596
2023-11-13,11526
2023-11-14,6187
2023-11-15,9913
2023-11-16,6580
2023-11-17,5152
2023-11-18,4089
2023-11-19,5514
2023-11-20,9227
2023-11-21,7682
2023-11-22,6290
2023-11-23,586
2023-11-24,4909
2023-11-25,5199
2023-11-26,507
2023-11-27,7023
2023-11-28,8233
2023-11-29,6590
2023-11-30,9002
2023-12-01,8663
2023-12-02,6484
2023-12-03,5423
2023-12-04,6265
2023-12-05,5638
2023-12-06,4411
2023-12-07,2678
2023-12-08,13990
2023-12-09,16015
2023-12-10,14545
2023-12-11,13631
2023-12-12,8109
2023-12-13,7883
2023-12-14,12927
2023-12-15,12683
2023-12-16,10191
2023-12-17,9427
2023-12-18,2623
2023-12-19,1690
2023-12-20,850
2023-12-21,3341
2023-12-22,1069
2023-12-23,4931
2023-12-24,8197
2023-12-25,17114
2023-12-26,11925
2023-12-27,13476
2023-12-28,23257
2023-12-29,15570
2023-12-30,11521
2023-12-31,17519
2024-01-01,10641
2024-01-02,11598
2024-01-03,8170
2024-01-04,22353
2024-01-05,12742
2024-01-06,4466
2024-01-07,6439
2024-01-08,3053
2024-01-09,2328
2024-01-10,8347
2024-01-11,2713
2024-01-12,1205
2024-01-13,2366
2024-01-14,6608
2024-01-15,10964
2024-01-16,14244
2024-01-17,17410
2024-01-18,8530
2024-01-19,9475
2024-01-20,14474
2024-01-21,10502
2024-01-22,13172
2024-01-23,8713
2024-01-24,10565
2024-01-25,7167
2024-01-26,10293
2024-01-27,12130
2024-01-28,10697
2024-01-29,6610
2024-01-30,5431
2024-01-31,7375
2024-02-01,7701
2024-02-02,1795
2024-02-03,5857
2024-02-04,4248
2024-02-05,7754
2024-02-06,6939
2024-02-07,4728
2024-02-08,6544
2024-02-09,5684
2024-02-10,4651
2024-02-11,3607
2024-02-12,10950
2024-02-13,6127
2024-02-14,8497
2024-02-15,9204
2024-02-16,4868
2024-02-17,886
2024-02-18,2586
2024-02-19,1024
2024-02-20,11631
2024-02-21,6207
2024-02-22,7636
2024-02-23,3139
2024-02-24,13347
2024-02-25,7995
2024-02-26,5202
2024-02-27,5513
2024-02-28,6575
2024-02-29,3495
2024-03-01,981
2024-03-02,10678
2024-03-03,4514
2024-03-04,5960
2024-03-05,7355
2024-03-06,5867
2024-03-07,11870
2024-03-08,4060
2024-03-09,20159
2024-03-10,5642
2024-03-11,8754
2024-03-12,8672
2024-03-13,7165
2024-03-14,6399
2024-03-15,8727
2024-03-16,7177
2024-03-17,8049
2024-03-18,4520
2024-03-19,12490
2024-03-20,8725
2024-03-21,10256
2024-03-22,8394
2024-03-23,27982
2024-03-24,5575
2024-03-25,24575
2024-03-26,6190
2024-03-27,6804
2024-03-28,2014
2024-03-29,6298
2024-03-30,1275
2024-03-31,2544
2024-04-01,969
2024-04-02,10239
2024-04-03,12581
2024-04-04,5052
2024-04-05,151
2024-04-06,8643
2024-04-07,10149
2024-04-08,7617
2024-04-09,10036
2024-04-10,9752
2024-04-11,6153
2024-04-12,14526
2024-04-13,15812
2024-04-14,6537
2024-04-15,12582
2024-04-16,6861
2024-04-17,9965
2024-04-18,3171
2024-04-19,1875
2024-04-20,10316
2024-04-21,543
2024-04-22,3470
2024-04-23,11465
2024-04-24,8650
2024-04-25,9176
2024-04-26,6471
2024-04-27,11761
2024-04-28,10991
2024-04-29,10228
2024-04-30,7651
2024-05-01,8001
2024-05-02,5224
2024-05-03,4101
2024-05-04,8746
2024-05-05,4791
2024-05-06,10480
2024-05-07,5892
2024-05-08,7197
2024-05-09,14791
2024-05-10,10739
2024-05-11,15681
2024-05-12,10410
2024-05-13,20219
2024-05-14,18109
2024-05-15,20646
2024-05-16,24842
